,input_angle,input_prheo,pspikenorm_ctr,fitgausspspikenorm_ctr,pspikenorm_fdE0,fitgausspspikenorm_fdE0,pspikenorm_ctrE0,fitgausspspikenorm_ctrE0,pspikenorm_fd,fitgausspspikenorm_fd
13,-77,0.8122570943068096,0.024660297054608853,0.0428028633640888,0.04942554648732231,0.0792787060481503,0.06646316065926643,0.1002272656301402,0.11872302550387122,0.15699694804166317
14,-76,0.8144100348382606,0.027535944171158004,0.046428875367733886,0.054336337124035516,0.08463777120913436,0.07243059964296052,0.1063569328767339,0.1272192390434382,0.16468025453038562
15,-75,0.8165404273964865,0.030693904229094744,0.05030855771243101,0.05963025228375917,0.09028186910117543,0.07880720650764862,0.11277393504190647,0.1361307681105016,0.1726317222062338
16,-74,0.8186480653765826,0.03415445033183753,0.05445451961074318,0.06532466297042362,0.09622003773456388,0.0856070270519778,0.11948535332182227,0.14546077260591206,0.18085412997584482
17,-73,0.8207327440018678,0.037938347100254156,0.05887953303254538,0.07143637241251251,0.10246113491815854,0.09284317077218986,0.12649798778454158,0.1552110051740659,0.1893498704450746
18,-72,0.8227942603569814,0.042066737368288754,0.0635964896462775,0.07798145803412791,0.10901379514960227,0.10052766609854799,0.1338183189286012,0.16538175347095252,0.1981209254077811
19,-71,0.8248324134207435,0.04656101387046378,0.06861835357687483,0.08497511086731081,0.11588638467549853,0.10867131821941946,0.14145246824564284,0.17597179302976873,0.20716884148771825
20,-70,0.8268470040987698,0.0514426763343439,0.07395810995363922,0.09243147439155122,0.12308695484062881,0.11728357145513335,0.14940615791744583,0.1869783514432385,0.21649470603407367
21,-69,0.8288378352558344,0.05673317469329472,0.07962870925168633,0.10036348489468633,0.1306231938635127,0.12637237815231958,0.15768466979014625,0.19839708442276918,0.22609912337473803
22,-68,0.8308047117479722,0.062453739448151295,0.08564300746337755,0.10878271551747551,0.13850237719402972,0.13594407603655648,0.1662928037806586,0.2102220641240329,0.23598219153458141
23,-67,0.832747440454315,0.06862520052307321,0.09201370217118346,0.11769922616863776,0.14673131662730501,0.14600327588614392,0.17523483588225996,0.22244577995038425,0.24614347952879673
24,-66,0.8346658303086527,0.07526779627238116,0.09875326463055635,0.12712142147573868,0.1553163083664618,0.1565527612732119,0.18451447594784684,0.23505915186366097,0.25658200534371955
25,-65,0.836559692330713,0.08240097459259846,0.10587386801041142,0.13705591886928015,0.16426308024501737,0.16759340196218211,0.19413482544042748,0.2480515560506407,0.26729621471941273
26,-64,0.8384288396571531,0.09004318836794122,0.11338731197948004,0.14750742878313425,0.17357673833748496,0.17912408236290028,0.20409833535086122,0.26141086261664803,0.2782839608496827
27,-63,0.8402730875722545,0.0982116877190089,0.12130494386883042,0.15847864879616913,0.18326171320397647,0.19114164621093901,0.2144067644925936,0.27512348480945814,0.28954248511604386
28,-62,0.8420922535383158,0.10692231172472996,0.12963757668393242,0.16997017334089398,0.19332170603111606,0.20364085839601376,0.22506113839205336,0.28917443912024804,0.3010683989724352
29,-61,0.8438861572257356,0.1161892824388817,0.13839540428342212,0.18198042036990492,0.20375963494719565,0.2166143845873494,0.23606170900136797,0.3035474154670155,0.3128576670972033
30,-60,0.8456546205427775,0.12602500411806655,0.14758791408582422,0.19450557610561847,0.2145775818040562,0.2300527890190263,0.2474079154670162,0.318224856542252,0.32490559192796503
31,-59,0.8473974676650133,0.13643987061276955,0.15722379770948913,0.20753955870995777,0.22577673973149315,0.24394455050604963,0.2590983461938608,0.33318804530280544,0.3372067996934423
32,-58,0.8491145250644347,0.14744208384365062,0.1673108599944692,0.22107400140564065,0.2373573617818794,0.2582760964704118,0.27113070244859966,0.34841719949725924,0.3497552280541934
33,-57,0.8508056215382273,0.15903748619014074,0.1778559268975192,0.23509825526725553,0.2493187109930098,0.2730318544729399,0.2835017637499442,0.36389157206562084,0.36254411546134896
34,-56,0.8524705882372012,0.1712294094584517,0.18886475279237971,0.24959941158631962,0.2616590122057284,0.2881943204780747,0.2962073552946861,0.3795895562080235,0.3755659923389764
35,-55,0.8541092586938724,0.18401854287400055,0.20034192774648352,0.264562343407583,0.2743754059795445,0.3037441428309744,0.3092423176691813,0.39548879390301855,0.3888126741915448
36,-54,0.8557214688501846,0.19740282226389805,0.21229078538170165,0.27996976554133,0.2874639049540234,0.3196602207049262,0.32260047909457196,0.4115662866611606,0.4022752567331398
37,-53,0.85730705708487,0.21137734226532756,0.2247133119602022,0.29580231208494884,0.30091935300611594,0.3359198155863824,0.3362746304512362,0.4277985073246147,0.41594411312958973
38,-52,0.858865864240438,0.22593429302363263,0.23761005736640736,0.31203863024225287,0.3147353875536307,0.3524986742082527,0.3502565033234393,0.444161511766656,0.42980889343851286
39,-51,0.86039773364979,0.24106292243964914,0.25098004868189666,0.3286554890158724,0.3289044053526505,0.3693711612217965,0.3645367512989186,0.4606310494043138,0.4438585263254964
40,-50,0.8619025111624503,0.25674952459974826,0.26482070707141725,0.3456279011699062,0.34341753213173887,0.38651039981440566,0.3791049347501344,0.47718267151055266,0.4580812231271891
41,-49,0.8633800451704088,0.2729774545856775,0.27912776871444395,0.36292925671962895,0.3582645963982035,0.40388841843499607,0.3939495093141511,0.49379183639708907,0.4724644843240443
42,-48,0.8648301866335691,0.2897271694258538,0.29389521052753703,0.3805314661035185,0.3734341077414108,0.4214763017794226,0.4090578182765579,0.510434010632572,0.4869951084768219
43,-47,0.8662527891047962,0.30697629452645936,0.30911518142765415,0.3984051111304247,0.3889132399451416,0.43924434421341696,0.42441608905151784,0.5270847655609593,0.5016592036717717
44,-46,0.8676477087545573,0.3246997145199955,0.3247779398852052,0.41651960177044584,0.4046878192052247,0.45716220386730244,0.4400094339349678,0.543719868489156,0.5164422015097138
45,-45,0.8690148043951514,0.3428696871002253,0.34087179850767424,0.4348433368700826,0.4207423177301777,0.47519905572170684,0.45582185529121116,0.5603153680189421,0.5313288736640397
46,-44,0.8703539375045194,0.36145597808386565,0.3573830763797875,0.45334386691788836,0.4370598529813643,0.49332374211290125,0.4718362553147162,0.5768476731038921,0.5463033510220279
47,-43,0.8716649722496314,0.3804260156575609,0.3742960598642734,0.47198805706277286,0.4536221927852828,0.5115049192160437,0.4880344504889089,0.5932936255154825,0.5613491454128409
48,-42,0.8729477755094449,0.3997450615383889,0.39159297253808856,0.4907422486894082,0.470409766524121,0.5297111982101083,0.5043971908422293,0.6096305655021433,0.5764491739142105
49,-41,0.8742022168974289,0.41937639660066245,0.40925395490249306,0.5095724179797492,0.4874016825817433,0.5479112799853784,0.5209041840787861,0.6258363905193669,0.5915857857181585
50,-40,0.8754281687836467,0.4392815184023693,0.4272570544615573,0.528444330032031,0.504575752190954,0.5660740824187442,0.5375341246367227,0.6418896069968825,0.6067407915242244
51,-39,0.8766255063163947,0.4594203479810545,0.44557822671263575,0.5473236872644369,0.5219085197943528,0.5841688594098032,0.5542647277020192,0.6577693751895836,0.6218954954166189
52,-38,0.8777941074433906,0.47975144327926933,0.4641913475342234,0.5661762709954895,0.539375299995554,0.6021653110380611,0.5710727681790385,0.6734555472315742,0.6370307291695702
53,-37,0.8789338529325069,0.5002322166008332,0.48306823739165633,0.5849680752631287,0.556950221140174,0.6200336843652557,0.5879341245918371,0.688928698577145,0.6521268889129425
54,-36,0.8800446263920425,0.5208191535865114,0.5021786977096577,0.6036654321154611,0.5746062755270421,0.6377448645639575,0.6048238278622691,0.7041701530683514,0.6671639740780448
55,-35,0.8811263142905313,0.5414680313262702,0.5214905596831884,0.6222351277750774,0.5923153762097887,0.6552704562019933,0.6217161148823828,0.7191620019163776,0.6821216285314917
56,-34,0.8821788059760798,0.5621341333886636,0.5409697457149204,0.6406445092422852,0.6100484203076068,0.6725828546496123,0.6385844867697437,0.7338871169228821,0.6969791837930943
57,-33,0.8832019936952301,0.5827724597402713,0.5605803435795099,0.6588615810584575,0.6277753587018289,0.6896553077016787,0.6554017716652906,0.7483291582987319,0.7117157042221167
58,-32,0.8841957726113452,0.6033379297424578,0.580284693322348,0.6768550920965526,0.6454652719523357,0.7064619676191615,0.6721401919043627,0.7624725774610458,0.7263100340449083
59,-31,0.8851600408225098,0.6237855766428565,0.6000434868043454,0.6945946123802321,0.6630864522250227,0.7229779338924229,0.6887714353628184,0.7763026152060049,0.7407408460859845
60,-30,0.8860946993789445,0.6440707322185109,0.6198158797053747,0.7120506000547409,0.680606490978929,0.7391792871130576,0.705266730751916,0.7898052956649367,0.754986692054147
61,-29,0.8869996522999272,0.664149200470709,0.6395596156980766,0.7291944587409536,0.6979923721195134,0.7550431144113285,0.7215969266080561,0.802967416455406,0.7690260542252854
62,-28,0.8878748065902199,0.6839774195129906,0.6592311624017881,0.74599858559858,0.7152105702832956,0.7705475269732139,0.7377325736968013,0.8157765354381324,0.782837398354135
63,-27,0.8887200722559953,0.7035126110286417,0.678785858624283,0.7624364105050587,0.7322271538789985,0.7856716701950318,0.7536440105250141,0.8282209544850301,0.7963992276385788
64,-26,0.8895353623202589,0.7227129168984764,0.69817807229785,0.7784824268238361,0.7490078924717871,0.8003957270657084,0.769301451630676,0.8402897006543596,0.8096901375520923
65,-25,0.8903205928377661,0.7415375228104083,0.717361368416959,0.7941122142897372,0.7655183680605364,0.8147009153877811,0.784675078297198,0.8519725051564331,0.8226888713527438
66,-24,0.8910756829094261,0.7599467688563842,0.7362886861884123,0.8093024545806746,0.7817240897635999,0.8285694794591182,0.7997351313179724,0.8632597804780042,0.8353743760707967
67,-23,0.8918005546961931,0.7779022472983175,0.7549125245124735,0.8240309401751507,0.7975906113966275,0.8419846768395751,0.8144520054177566,0.8741425960162867,0.8477258587714877
68,-22,0.8924951334324395,0.7953668878407363,0.7731851348260067,0.8382765771144015,0.8130836513968915,0.8549307608210056,0.8287963449203831,0.8846126525545811,0.8597228428850148
69,-21,0.8931593474388075,0.8123050308839276,0.7910587202571445,0.8520193822980716,0.8281692145226153,0.8673929592068133,0.8427391402374217,0.8946622558915954,0.8713452243922024
70,-20,0.8937931281345382,0.8286824893467206,0.8084856399663719,0.8652404759437097,0.8428137147332381,0.8793574499892541,0.8562518247399347,0.9042842899158903,0.8825733276517482
71,-19,0.8943964100492724,0.8444665997433708,0.8254186174820708,0.8779220698344486,0.8569840986376229,0.8908113344902832,0.8693063715654827,0.913472189395964,0.8933879606534434
72,-18,0.8949691308343232,0.8596262632746631,0.8418109517803553,0.8900474519668211,0.8706479688821542,0.901742608505636,0.8818753899051911,0.9222199127355603,0.903770469481294
73,-17,0.8955112312734141,0.8741319777505647,0.8576167298101991,0.9016009681929789,0.8837737068396592,0.9121401319631001,0.8939322203110509,0.9305219149231972,0.9137027917711011
74,-16,0.8960226552928842,0.8879558612015438,0.8727910391261139,0.9125680014294109,0.8963305939532882,0.9219935975752371,0.9054510285618045,0.9383731208848314,0.9231675089487638
75,-15,0.8965033499713545,0.9010716680594845,0.8872901792625493,0.9229349489785493,0.9082889310870236,0.9312934989349221,0.916406897626786,0.9457688994291936,0.9321478970383817
76,-14,0.8969532655488548,0.9134547987983285,0.9010718704672612,0.9326891984811562,0.9196201552364432,0.9400310984695115,0.9267759172710083,0.9527050379567896,0.940627975833131
77,-13,0.8973723554354085,0.9250823039209907,0.9140954584054991,0.9418191029870175,0.9302969529598096,0.9481983956369955,0.936535270851611,0.9591777180860973,0.9485925562268686
78,-12,0.8977605762190739,0.9359328831637473,0.9263221134532635,0.9503139555995235,0.9402933699004821,0.9557880957151726,0.9456633188654978,0.9651834923339165,0.956027285510469
79,-11,0.8981178876734379,0.9459868807640798,0.9377150232162198,0.9581639641170201,0.9495849157870598,0.9627935795034435,0.9541396788205797,0.9707192619714445,0.9629186904439831
80,-10,0.8984442527645641,0.9552262776042965,0.9482395769411429,0.9653602260608709,0.958148664317475,0.9692088742264026,0.9619453010184242,0.9757822561634374,0.9692542179238117
81,-9,0.8987396376573888,0.9636346810019496,0.9578635405288923,0.9718947044469318,0.965963347357383,0.9750286258990101,0.9690625398542364,0.9803700124845144,0.9750222730731614
82,-8,0.8990040117215682,0.9711973128711953,0.9665572209116383,0.9777602046245928,0.9730094429114917,0.9802480733853395,0.9754752202608497,0.9844803588947298,0.980212254594057
83,-7,0.8992373475367714,0.9779009969270345,0.9742936186220171,0.9829503524752556,0.9792692563587696,0.9848630243563427,0.9811686989466684,0.9881113972454189,0.9848145872300759
84,-6,0.8994396208974208,0.9837341455483695,0.9810485674575805,0.9874595742306862,0.9847269944785434,0.9888698333270644,0.9861299201031396,0.9912614883763338,0.9888207512006841
85,-5,0.8996108108168769,0.9886867468566976,0.9868008602297269,0.9912830781410993,0.9893688318341216,0.9922653819302221,0.9903474652851739,0.9939292388560261,0.9922233084805413
86,-4,0.8997508995310673,0.9927503525055617,0.9915323596815163,0.9944168381930322,0.9931829691234507,0.9950470615608472,0.9938115971978081,0.9961134894091649,0.9950159258103177
87,-3,0.899859872501559,0.9959180666125385,0.9952280937625584,0.9968575800482684,0.9961596831521433,0.9972127585058734,0.9965142971541067,0.9978133050670615,0.9971933943393898
88,-2,0.8999377184180727,0.9981845362007434,0.9978763345605817,0.9986027693470722,0.9982913681326637,0.9987608416528899,0.9984492960026266,0.9990279670709172,0.9987516458151364
89,-1,0.8999844292004398,0.9995459434510636,0.9994686603073308,0.9996506024917394,0.999572568064159,0.9996901528536201,0.9996120983574912,0.9997569665510833,0.9996877652484115
90,0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,1,0.8999844292004398,0.9995459434510636,0.9994686603073308,0.9996506024917394,0.999572568064159,0.9996901528536201,0.9996120983574912,0.9997569665510833,0.9996877652484115
92,2,0.8999377184180727,0.9981845362007434,0.9978763345605817,0.9986027693470722,0.9982913681326637,0.9987608416528899,0.9984492960026266,0.9990279670709172,0.9987516458151364
93,3,0.899859872501559,0.9959180666125385,0.9952280937625584,0.9968575800482684,0.9961596831521433,0.9972127585058734,0.9965142971541067,0.9978133050670615,0.9971933943393898
94,4,0.8997508995310673,0.9927503525055617,0.9915323596815163,0.9944168381930322,0.9931829691234507,0.9950470615608472,0.9938115971978081,0.9961134894091649,0.9950159258103177
95,5,0.8996108108168769,0.9886867468566976,0.9868008602297269,0.9912830781410993,0.9893688318341216,0.9922653819302221,0.9903474652851739,0.9939292388560261,0.9922233084805413
96,6,0.8994396208974208,0.9837341455483695,0.9810485674575805,0.9874595742306862,0.9847269944785434,0.9888698333270644,0.9861299201031396,0.9912614883763338,0.9888207512006841
97,7,0.8992373475367714,0.9779009969270345,0.9742936186220171,0.9829503524752556,0.9792692563587696,0.9848630243563427,0.9811686989466684,0.9881113972454189,0.9848145872300759
98,8,0.8990040117215682,0.9711973128711953,0.9665572209116383,0.9777602046245928,0.9730094429114917,0.9802480733853395,0.9754752202608497,0.9844803588947298,0.980212254594057
99,9,0.8987396376573888,0.9636346810019496,0.9578635405288923,0.9718947044469318,0.965963347357383,0.9750286258990101,0.9690625398542364,0.9803700124845144,0.9750222730731614
100,10,0.8984442527645641,0.9552262776042965,0.9482395769411429,0.9653602260608709,0.958148664317475,0.9692088742264026,0.9619453010184242,0.9757822561634374,0.9692542179238117
101,11,0.8981178876734379,0.9459868807640798,0.9377150232162198,0.9581639641170201,0.9495849157870598,0.9627935795034435,0.9541396788205797,0.9707192619714445,0.9629186904439831
102,12,0.8977605762190739,0.9359328831637473,0.9263221134532635,0.9503139555995235,0.9402933699004821,0.9557880957151726,0.9456633188654978,0.9651834923339165,0.956027285510469
103,13,0.8973723554354085,0.9250823039209907,0.9140954584054991,0.9418191029870175,0.9302969529598096,0.9481983956369955,0.936535270851611,0.9591777180860973,0.9485925562268686
104,14,0.8969532655488548,0.9134547987983285,0.9010718704672612,0.9326891984811562,0.9196201552364432,0.9400310984695115,0.9267759172710083,0.9527050379567896,0.940627975833131
